	AT	Balt	BE	DE	DK	Es	Fr	NL	No	Se	Uk
t297	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.03	0.03
t298	0.03	0.04	0.05	0.06	0.05	0.06	0.09	0.09	0.10	0.09	0.09
t299	0.08	0.07	0.08	0.07	0.09	0.09	0.09	0.08	0.05	0.04	0.04
t300	0.04	0.03	0.02	0.02	0.03	0.02	0.03	0.06	0.08	0.07	0.07
t301	0.08	0.08	0.07	0.07	0.09	0.11	0.13	0.11	0.08	0.06	0.05
t302	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.03	0.05
t303	0.07	0.05	0.04	0.05	0.04	0.04	0.03	0.02	0.03	0.03	0.04
t304	0.06	0.08	0.07	0.07	0.06	0.05	0.04	0.04	0.03	0.02	0.02
t305	0.03	0.03	0.03	0.03	0.03	0.04	0.06	0.08	0.07	0.06	0.07
t306	0.07	0.06	0.05	0.05	0.05	0.05	0.06	0.07	0.09	0.12	0.15
t307	0.13	0.15	0.18	0.15	0.12	0.10	0.08	0.08	0.09	0.11	0.12
t308	0.15	0.23	0.24	0.23	0.26	0.14	0.10	0.08	0.10	0.21	0.46
t309	0.57	0.61	0.55	0.62	0.64	0.65	0.64	0.62	0.58	0.51	0.44
t310	0.36	0.28	0.18	0.16	0.14	0.11	0.09	0.07	0.07	0.07	0.10
t311	0.11	0.10	0.09	0.07	0.04	0.04	0.03	0.03	0.03	0.04	0.05
t312	0.06	0.07	0.09	0.10	0.13	0.19	0.23	0.22	0.18	0.10	0.09
t313	0.11	0.09	0.07	0.07	0.07	0.06	0.04	0.04	0.04	0.04	0.05
t314	0.07	0.10	0.20	0.26	0.20	0.32	0.52	0.58	0.63	0.66	0.74
t315	0.79	0.78	0.73	0.65	0.55	0.42	0.29	0.19	0.25	0.39	0.34
t316	0.32	0.22	0.18	0.14	0.12	0.09	0.07	0.05	0.05	0.05	0.06
t317	0.07	0.06	0.03	0.02	0.02	0.02	0.02	0.03	0.03	0.04	0.04
t318	0.06	0.08	0.12	0.16	0.20	0.21	0.23	0.24	0.26	0.26	0.24
t319	0.30	0.35	0.36	0.35	0.30	0.27	0.23	0.19	0.14	0.11	0.09
t320	0.08	0.06	0.07	0.09	0.12	0.14	0.15	0.17	0.18	0.20	0.22
t321	0.24	0.25	0.31	0.36	0.38	0.37	0.26	0.21	0.18	0.14	0.11
t322	0.08	0.06	0.05	0.04	0.05	0.04	0.03	0.02	0.03	0.03	0.03
t323	0.03	0.02	0.02	0.04	0.08	0.13	0.15	0.09	0.08	0.13	0.16
t324	0.17	0.20	0.21	0.19	0.13	0.12	0.11	0.12	0.12	0.12	0.10
t325	0.08	0.07	0.07	0.08	0.09	0.09	0.12	0.20	0.37	0.46	0.50
t326	0.57	0.60	0.65	0.67	0.66	0.61	0.63	0.64	0.55	0.46	0.49
t327	0.52	0.50	0.41	0.41	0.40	0.35	0.33	0.34	0.37	0.39	0.38
t328	0.38	0.39	0.40	0.39	0.38	0.39	0.40	0.39	0.36	0.33	0.54
t329	0.53	0.52	0.42	0.42	0.46	0.51	0.49	0.54	0.43	0.35	0.42
t330	0.49	0.54	0.56	0.50	0.45	0.39	0.36	0.32	0.27	0.21	0.16
t331	0.19	0.20	0.18	0.18	0.25	0.34	0.41	0.48	0.60	0.55	0.45
t332	0.34	0.30	0.25	0.22	0.18	0.17	0.16	0.17	0.22	0.26	0.30
t333	0.30	0.23	0.28	0.29	0.29	0.33	0.43	0.47	0.50	0.53	0.58
t334	0.61	0.63	0.57	0.52	0.45	0.36	0.32	0.28	0.26	0.27	0.28
t335	0.27	0.28	0.29	0.25	0.32	0.34	0.28	0.24	0.26	0.28	0.28
t336	0.33	0.36	0.34	0.35	0.31	0.31	0.32	0.32	0.32	0.27	0.24
t337	0.24	0.25	0.25	0.24	0.25	0.25	0.28	0.26	0.24	0.25	0.20
t338	0.21	0.24	0.28	0.27	0.23	0.23	0.24	0.29	0.36	0.42	0.45
t339	0.50	0.48	0.45	0.43	0.42	0.41	0.37	0.32	0.32	0.31	0.29
t340	0.27	0.20	0.21	0.22	0.21	0.11	0.06	0.04	0.02	0.02	0.01
t341	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02
t342	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.02	0.02
t343	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.04	0.04
t344	0.04	0.03	0.04	0.05	0.07	0.07	0.09	0.09	0.09	0.10	0.11
t345	0.10	0.11	0.13	0.16	0.17	0.17	0.20	0.18	0.17	0.16	0.15
t346	0.17	0.16	0.15	0.14	0.20	0.23	0.27	0.25	0.25	0.22	0.21
t347	0.20	0.19	0.16	0.13	0.14	0.15	0.15	0.14	0.12	0.13	0.16
t348	0.17	0.19	0.19	0.20	0.21	0.15	0.17	0.20	0.26	0.32	0.42
t349	0.39	0.37	0.34	0.28	0.30	0.36	0.40	0.42	0.41	0.37	0.39
t350	0.33	0.19	0.16	0.12	0.08	0.07	0.06	0.04	0.06	0.07	0.08
t351	0.07	0.08	0.06	0.08	0.12	0.09	0.09	0.12	0.16	0.20	0.25
t352	0.26	0.29	0.30	0.29	0.28	0.33	0.40	0.39	0.37	0.33	0.40
t353	0.43	0.43	0.36	0.31	0.31	0.27	0.24	0.17	0.15	0.21	0.29
t354	0.32	0.32	0.40	0.40	0.41	0.48	0.48	0.48	0.49	0.50	0.47
t355	0.40	0.41	0.40	0.40	0.40	0.43	0.46	0.46	0.46	0.43	0.36
t356	0.30	0.27	0.26	0.26	0.25	0.33	0.27	0.24	0.23	0.22	0.21
t357	0.20	0.16	0.17	0.25	0.26	0.29	0.28	0.43	0.47	0.49	0.46
t358	0.39	0.26	0.17	0.15	0.14	0.12	0.09	0.08	0.08	0.09	0.09
t359	0.09	0.09	0.08	0.06	0.04	0.03	0.02	0.02	0.02	0.02	0.02
t360	0.02	0.02	0.02	0.02	0.03	0.03	0.04	0.04	0.04	0.02	0.02
t361	0.03	0.04	0.04	0.03	0.03	0.02	0.01	0.01	0.01	0.02	0.01
t362	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.06	0.07	0.08
t363	0.09	0.10	0.09	0.07	0.06	0.06	0.06	0.06	0.05	0.04	0.04
t364	0.04	0.07	0.10	0.10	0.10	0.10	0.10	0.09	0.09	0.11	0.16
t365	0.19	0.19	0.15	0.11	0.09	0.13	0.12	0.07	0.03	0.03	0.04
t366	0.05	0.06	0.06	0.03	0.02	0.02	0.03	0.05	0.07	0.06	0.04
t367	0.03	0.05	0.03	0.03	0.04	0.09	0.11	0.09	0.08	0.08	0.08
t368	0.08	0.08	0.09	0.09	0.09	0.12	0.10	0.08	0.08	0.09	0.09
t369	0.08	0.07	0.06	0.06	0.06	0.07	0.04	0.09	0.10	0.08	0.07
t370	0.07	0.08	0.07	0.04	0.04	0.04	0.05	0.03	0.03	0.04	0.06
t371	0.07	0.07	0.08	0.08	0.13	0.20	0.24	0.24	0.19	0.18	0.18
t372	0.21	0.20	0.21	0.23	0.22	0.16	0.16	0.18	0.21	0.16	0.16
t373	0.18	0.21	0.22	0.22	0.21	0.17	0.17	0.21	0.21	0.20	0.22
t374	0.22	0.22	0.23	0.24	0.24	0.23	0.21	0.15	0.13	0.14	0.15
t375	0.13	0.13	0.12	0.11	0.10	0.10	0.08	0.06	0.05	0.07	0.07
t376	0.07	0.05	0.04	0.04	0.04	0.06	0.07	0.07	0.06	0.04	0.03
t377	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.03	0.04	0.04	0.04
t378	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.06
t379	0.07	0.08	0.06	0.05	0.04	0.04	0.03	0.03	0.03	0.04	0.12
t380	0.06	0.06	0.04	0.04	0.04	0.08	0.09	0.10	0.14	0.18	0.21
t381	0.25	0.29	0.28	0.27	0.21	0.17	0.13	0.11	0.08	0.06	0.05
t382	0.04	0.04	0.05	0.06	0.06	0.07	0.05	0.02	0.03	0.05	0.07
t383	0.08	0.08	0.08	0.09	0.08	0.09	0.10	0.11	0.11	0.10	0.11
t384	0.11	0.16	0.28	0.24	0.15	0.12	0.13	0.13	0.13	0.15	0.16
t385	0.20	0.17	0.15	0.13	0.13	0.10	0.07	0.06	0.05	0.05	0.03
t386	0.02	0.02	0.03	0.03	0.03	0.03	0.04	0.04	0.05	0.07	0.06
t387	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.02	0.03	0.04
t388	0.06	0.08	0.09	0.09	0.10	0.10	0.09	0.10	0.10	0.11	0.13
t389	0.15	0.16	0.16	0.16	0.17	0.18	0.17	0.18	0.20	0.16	0.15
t390	0.15	0.15	0.17	0.15	0.16	0.17	0.17	0.21	0.21	0.18	0.18
t391	0.20	0.20	0.22	0.26	0.22	0.25	0.59	0.68	0.64	0.57	0.49
t392	0.45	0.42	0.41	0.38	0.35	0.33	0.21	0.10	0.13	0.15	0.13
t393	0.13	0.12	0.10	0.11	0.11	0.13	0.14	0.13	0.05	0.07	0.07
t394	0.08	0.08	0.09	0.14	0.17	0.16	0.21	0.23	0.25	0.29	0.31
t395	0.30	0.28	0.22	0.17	0.09	0.06	0.04	0.03	0.03	0.01	0.02
t396	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.05
t397	0.09	0.23	0.55	0.62	0.67	0.66	0.60	0.55	0.51	0.49	0.26
t398	0.35	0.41	0.47	0.55	0.65	0.67	0.69	0.75	0.79	0.80	0.81
t399	0.74	0.78	0.77	0.74	0.67	0.59	0.55	0.55	0.55	0.53	0.52
t400	0.52	0.49	0.46	0.44	0.40	0.35	0.33	0.31	0.30	0.21	0.19
t401	0.17	0.17	0.14	0.14	0.14	0.13	0.12	0.11	0.11	0.10	0.10
t402	0.09	0.08	0.06	0.05	0.04	0.04	0.03	0.02	0.02	0.02	0.02
t403	0.02	0.03	0.06	0.09	0.14	0.19	0.24	0.26	0.29	0.32	0.37
t404	0.37	0.39	0.41	0.39	0.35	0.22	0.20	0.18	0.14	0.10	0.08
t405	0.07	0.08	0.12	0.29	0.43	0.51	0.21	0.40	0.62	0.60	0.49
t406	0.61	0.64	0.66	0.66	0.65	0.63	0.60	0.27	0.33	0.40	0.45
t407	0.45	0.42	0.39	0.36	0.47	0.53	0.47	0.43	0.33	0.27	0.26
t408	0.23	0.15	0.11	0.08	0.05	0.04	0.03	0.04	0.04	0.05	0.05
t409	0.05	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.07	0.08	0.05
t410	0.05	0.04	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03
t411	0.03	0.04	0.05	0.07	0.07	0.09	0.12	0.13	0.11	0.10	0.09
t412	0.08	0.10	0.12	0.14	0.15	0.16	0.16	0.17	0.16	0.15	0.15
t413	0.14	0.15	0.14	0.18	0.16	0.14	0.18	0.20	0.21	0.24	0.21
t414	0.18	0.18	0.16	0.09	0.08	0.07	0.09	0.08	0.08	0.08	0.07
t415	0.06	0.09	0.10	0.12	0.11	0.09	0.07	0.06	0.06	0.06	0.05
t416	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.03
t417	0.03	0.05	0.05	0.05	0.04	0.05	0.08	0.10	0.06	0.05	0.06
t418	0.06	0.06	0.06	0.07	0.06	0.05	0.05	0.09	0.11	0.11	0.11
t419	0.08	0.11	0.10	0.10	0.11	0.13	0.14	0.17	0.16	0.15	0.19
t420	0.21	0.24	0.25	0.27	0.26	0.22	0.18	0.18	0.15	0.10	0.10
t421	0.08	0.06	0.05	0.04	0.04	0.04	0.05	0.07	0.09	0.10	0.07
t422	0.09	0.11	0.11	0.10	0.10	0.12	0.16	0.16	0.15	0.16	0.16
t423	0.16	0.18	0.20	0.16	0.15	0.15	0.12	0.13	0.14	0.13	0.09
t424	0.09	0.19	0.26	0.25	0.25	0.23	0.19	0.18	0.19	0.18	0.15
t425	0.14	0.15	0.10	0.09	0.09	0.09	0.10	0.05	0.04	0.05	0.07
t426	0.07	0.07	0.07	0.04	0.04	0.04	0.05	0.06	0.06	0.04	0.02
t427	0.02	0.01	0.01	0.01	0.02	0.04	0.05	0.06	0.08	0.09	0.09
t428	0.12	0.16	0.17	0.18	0.18	0.26	0.22	0.16	0.21	0.29	0.28
t429	0.23	0.18	0.13	0.08	0.07	0.08	0.09	0.08	0.12	0.13	0.14
t430	0.15	0.24	0.15	0.09	0.11	0.14	0.14	0.16	0.34	0.34	0.30
t431	0.31	0.32	0.32	0.30	0.22	0.16	0.14	0.16	0.09	0.11	0.10
t432	0.09	0.08	0.06	0.04	0.03	0.03	0.03	0.02	0.02	0.03	0.02
t433	0.02	0.03	0.04	0.04	0.04	0.03	0.03	0.03	0.03	0.03	0.04
t434	0.06	0.08	0.08	0.11	0.11	0.13	0.17	0.22	0.20	0.17	0.13
t435	0.08	0.10	0.29	0.44	0.39	0.40	0.36	0.35	0.34	0.39	0.52
t436	0.60	0.42	0.23	0.32	0.50	0.63	0.58	0.52	0.56	0.60	0.55
t437	0.51	0.50	0.22	0.26	0.31	0.34	0.35	0.34	0.31	0.26	0.18
t438	0.21	0.25	0.25	0.25	0.19	0.19	0.20	0.15	0.11	0.09	0.07
t439	0.06	0.06	0.08	0.13	0.07	0.09	0.14	0.22	0.34	0.38	0.34
t440	0.37	0.41	0.51	0.54	0.54	0.53	0.54	0.57	0.53	0.44	0.39
t441	0.24	0.11	0.08	0.10	0.20	0.29	0.24	0.29	0.31	0.30	0.29
t442	0.26	0.24	0.22	0.20	0.24	0.42	0.40	0.42	0.35	0.29	0.27
t443	0.22	0.15	0.09	0.06	0.05	0.05	0.04	0.03	0.03	0.02	0.03
t444	0.04	0.04	0.06	0.06	0.07	0.06	0.04	0.04	0.05	0.05	0.04
t445	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.06	0.07	0.07	0.05
t446	0.06	0.06	0.05	0.04	0.03	0.03	0.02	0.02	0.01	0.01	0.02
t447	0.02	0.03	0.03	0.03	0.03	0.05	0.05	0.05	0.07	0.08	0.09
t448	0.09	0.11	0.13	0.14	0.13	0.11	0.10	0.09	0.08	0.05	0.04
t449	0.04	0.04	0.04	0.09	0.11	0.12	0.15	0.17	0.11	0.07	0.04
t450	0.02	0.02	0.02	0.03	0.05	0.06	0.06	0.06	0.08	0.09	0.09
t451	0.06	0.06	0.05	0.05	0.04	0.03	0.03	0.03	0.02	0.02	0.02
t452	0.01	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.02	0.02
t453	0.02	0.01	0.01	0.01	0.02	0.02	0.03	0.04	0.05	0.05	0.05
t454	0.06	0.06	0.07	0.09	0.12	0.14	0.15	0.20	0.20	0.19	0.18
t455	0.16	0.13	0.12	0.10	0.07	0.07	0.08	0.08	0.08	0.08	0.08
t456	0.09	0.09	0.09	0.10	0.11	0.15	0.19	0.19	0.18	0.17	0.13
t457	0.12	0.13	0.13	0.12	0.13	0.13	0.10	0.11	0.12	0.18	0.31
t458	0.38	0.39	0.39	0.42	0.43	0.45	0.44	0.49	0.50	0.52	0.55
t459	0.54	0.42	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01
t460	0.02	0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.05	0.06	0.05
t461	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.02
t462	0.02	0.01	0.01	0.01	0.02	0.03	0.04	0.02	0.01	0.02	0.02
t463	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.02
t464	0.02	0.01	0.01	0.02	0.02	0.04	0.05	0.05	0.05	0.05	0.02
t465	0.02	0.03	0.04	0.06	0.07	0.08	0.03	0.04	0.14	0.16	0.14
t466	0.11	0.08	0.08	0.08	0.11	0.13	0.13	0.13	0.13	0.12	0.11
t467	0.11	0.10	0.06	0.07	0.11	0.11	0.13	0.12	0.12	0.19	0.10
t468	0.08	0.06	0.10	0.12	0.11	0.07	0.06	0.04	0.03	0.03	0.03
t469	0.03	0.03	0.03	0.04	0.06	0.08	0.09	0.06	0.03	0.04	0.07
t470	0.06	0.08	0.08	0.08	0.07	0.07	0.07	0.07	0.08	0.12	0.14
t471	0.10	0.10	0.10	0.09	0.07	0.06	0.05	0.03	0.03	0.04	0.04
t472	0.04	0.03	0.05	0.07	0.08	0.09	0.12	0.14	0.14	0.11	0.10
t473	0.09	0.08	0.05	0.08	0.08	0.07	0.06	0.07	0.07	0.08	0.07
t474	0.06	0.06	0.08	0.13	0.12	0.14	0.13	0.19	0.19	0.23	0.27
t475	0.30	0.34	0.36	0.27	0.20	0.29	0.39	0.43	0.43	0.41	0.33
t476	0.28	0.26	0.25	0.25	0.24	0.27	0.23	0.16	0.12	0.09	0.07
t477	0.06	0.05	0.03	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.03
t478	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.05	0.05	0.04	0.03
t479	0.03	0.04	0.05	0.07	0.07	0.08	0.11	0.14	0.20	0.25	0.24
t480	0.23	0.24	0.25	0.26	0.33	0.41	0.48	0.48	0.45	0.48	0.42
t481	0.30	0.22	0.17	0.13	0.11	0.08	0.06	0.04	0.04	0.05	0.05
t482	0.04	0.05	0.05	0.03	0.03	0.05	0.07	0.15	0.25	0.36	0.45
t483	0.36	0.42	0.53	0.54	0.47	0.48	0.45	0.44	0.39	0.38	0.51
t484	0.52	0.39	0.36	0.53	0.49	0.48	0.47	0.39	0.27	0.23	0.19
t485	0.16	0.11	0.07	0.06	0.05	0.04	0.04	0.03	0.02	0.02	0.01
t486	0.02	0.02	0.03	0.02	0.02	0.01	0.02	0.03	0.04	0.06	0.08
t487	0.12	0.16	0.16	0.16	0.12	0.11	0.09	0.07	0.05	0.03	0.03
t488	0.03	0.02	0.03	0.03	0.04	0.06	0.10	0.13	0.17	0.22	0.28
t489	0.30	0.36	0.41	0.44	0.47	0.48	0.47	0.52	0.50	0.47	0.42
t490	0.36	0.35	0.34	0.25	0.22	0.22	0.26	0.22	0.36	0.42	0.41
t491	0.42	0.45	0.51	0.58	0.53	0.46	0.43	0.36	0.25	0.19	0.20
t492	0.25	0.39	0.47	0.44	0.30	0.19	0.16	0.14	0.10	0.07	0.05
t493	0.04	0.04	0.03	0.03	0.03	0.04	0.05	0.05	0.06	0.06	0.07
t494	0.07	0.09	0.10	0.07	0.06	0.06	0.08	0.07	0.06	0.05	0.05
t495	0.04	0.03	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.04	0.03
t496	0.03	0.04	0.06	0.08	0.09	0.08	0.09	0.10	0.09	0.06	0.04
t497	0.05	0.07	0.12	0.28	0.28	0.18	0.18	0.54	0.60	0.61	0.65
t498	0.67	0.67	0.68	0.27	0.44	0.60	0.50	0.43	0.50	0.64	0.66
t499	0.59	0.55	0.58	0.64	0.45	0.60	0.64	0.63	0.65	0.62	0.50
t500	0.40	0.31	0.28	0.27	0.27	0.18	0.20	0.20	0.18	0.16	0.14
t501	0.10	0.07	0.04	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02
t502	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02
t503	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.03	0.04
t504	0.05	0.07	0.09	0.09	0.12	0.17	0.18	0.18	0.17	0.17	0.14
t505	0.11	0.08	0.06	0.04	0.03	0.02	0.02	0.02	0.02	0.03	0.04
t506	0.07	0.11	0.15	0.19	0.23	0.25	0.33	0.37	0.39	0.41	0.43
t507	0.44	0.41	0.33	0.27	0.20	0.19	0.22	0.24	0.20	0.19	0.22
t508	0.20	0.11	0.11	0.11	0.12	0.14	0.14	0.13	0.15	0.20	0.23
t509	0.23	0.21	0.19	0.17	0.17	0.16	0.13	0.10	0.08	0.06	0.04
t510	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.04	0.04	0.04
t511	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
t512	0.02	0.01	0.01	0.01	0.02	0.03	0.06	0.11	0.15	0.19	0.24
t513	0.19	0.18	0.20	0.24	0.30	0.33	0.19	0.21	0.31	0.65	0.52
t514	0.39	0.38	0.39	0.41	0.39	0.53	0.53	0.30	0.24	0.16	0.12
t515	0.12	0.18	0.24	0.24	0.22	0.20	0.22	0.23	0.32	0.32	0.33
t516	0.42	0.50	0.48	0.47	0.47	0.45	0.38	0.35	0.48	0.46	0.49
t517	0.44	0.35	0.26	0.20	0.16	0.17	0.19	0.20	0.18	0.13	0.12
t518	0.11	0.09	0.08	0.07	0.07	0.06	0.06	0.04	0.02	0.02	0.02
t519	0.02	0.01	0.02	0.02	0.02	0.02	0.03	0.05	0.05	0.04	0.03
t520	0.03	0.04	0.04	0.04	0.06	0.07	0.08	0.09	0.09	0.08	0.05
t521	0.05	0.05	0.03	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.03
t522	0.03	0.03	0.04	0.05	0.06	0.06	0.06	0.07	0.07	0.06	0.05
t523	0.04	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01
t524	0.02	0.03	0.04	0.05	0.05	0.06	0.05	0.03	0.03	0.03	0.02
t525	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.05	0.06	0.08
t526	0.10	0.09	0.09	0.14	0.20	0.18	0.15	0.17	0.21	0.22	0.24
t527	0.24	0.22	0.21	0.18	0.15	0.18	0.16	0.19	0.22	0.21	0.21
t528	0.17	0.15	0.13	0.09	0.08	0.08	0.10	0.10	0.07	0.03	0.02
t529	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.03	0.04	0.05
t530	0.07	0.08	0.10	0.13	0.16	0.15	0.14	0.16	0.18	0.22	0.29
t531	0.26	0.24	0.20	0.19	0.18	0.21	0.23	0.24	0.23	0.27	0.30
t532	0.32	0.25	0.21	0.16	0.16	0.15	0.15	0.12	0.10	0.10	0.10
t533	0.07	0.05	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.04
t534	0.04	0.07	0.10	0.12	0.14	0.15	0.17	0.17	0.16	0.16	0.18
t535	0.25	0.28	0.29	0.28	0.19	0.14	0.11	0.09	0.06	0.05	0.04
t536	0.03	0.02	0.01	0.02	0.02	0.03	0.04	0.05	0.06	0.07	0.08
t537	0.09	0.12	0.15	0.15	0.13	0.13	0.11	0.10	0.09	0.09	0.08
t538	0.07	0.06	0.06	0.05	0.03	0.04	0.05	0.07	0.10	0.12	0.15
t539	0.20	0.23	0.22	0.29	0.38	0.44	0.49	0.53	0.48	0.47	0.39
t540	0.33	0.26	0.26	0.29	0.26	0.20	0.20	0.24	0.21	0.15	0.13
t541	0.13	0.12	0.10	0.11	0.09	0.09	0.10	0.10	0.09	0.09	0.08
t542	0.07	0.08	0.08	0.11	0.14	0.15	0.14	0.09	0.07	0.05	0.05
t543	0.06	0.04	0.03	0.04	0.05	0.06	0.06	0.09	0.12	0.12	0.10
t544	0.10	0.11	0.12	0.11	0.11	0.10	0.09	0.07	0.07	0.07	0.05
t545	0.05	0.07	0.07	0.10	0.26	0.54	0.61	0.58	0.56	0.50	0.38
t546	0.23	0.19	0.18	0.24	0.20	0.18	0.14	0.12	0.12	0.12	0.12
t547	0.12	0.12	0.11	0.13	0.14	0.15	0.16	0.21	0.23	0.30	0.19
t548	0.12	0.12	0.12	0.14	0.21	0.28	0.34	0.33	0.33	0.37	0.39
t549	0.40	0.39	0.31	0.48	0.52	0.50	0.41	0.31	0.23	0.16	0.11
t550	0.07	0.04	0.03	0.04	0.06	0.09	0.13	0.12	0.14	0.19	0.25
t551	0.30	0.33	0.33	0.32	0.32	0.24	0.25	0.26	0.27	0.29	0.31
t552	0.30	0.31	0.30	0.30	0.35	0.37	0.35	0.30	0.23	0.17	0.12
t553	0.10	0.07	0.06	0.06	0.06	0.05	0.04	0.04	0.03	0.05	0.07
t554	0.08	0.10	0.11	0.10	0.12	0.19	0.20	0.17	0.17	0.16	0.15
t555	0.13	0.13	0.11	0.07	0.04	0.02	0.02	0.02	0.04	0.05	0.06
t556	0.09	0.13	0.18	0.20	0.19	0.18	0.21	0.31	0.38	0.35	0.34
t557	0.34	0.42	0.41	0.46	0.51	0.52	0.54	0.54	0.56	0.61	0.62
t558	0.59	0.64	0.59	0.45	0.50	0.59	0.65	0.67	0.64	0.60	0.49
t559	0.45	0.45	0.47	0.43	0.35	0.32	0.28	0.24	0.23	0.22	0.21
t560	0.18	0.11	0.14	0.12	0.08	0.04	0.03	0.02	0.02	0.02	0.02
t561	0.04	0.04	0.05	0.06	0.08	0.08	0.08	0.06	0.07	0.08	0.13
t562	0.15	0.16	0.18	0.20	0.18	0.28	0.39	0.44	0.42	0.40	0.35
t563	0.33	0.34	0.35	0.41	0.40	0.35	0.31	0.28	0.22	0.16	0.13
t564	0.11	0.10	0.09	0.08	0.08	0.07	0.06	0.07	0.09	0.14	0.18
t565	0.22	0.27	0.33	0.36	0.30	0.27	0.22	0.15	0.10	0.06	0.04
t566	0.06	0.11	0.17	0.18	0.16	0.15	0.15	0.13	0.11	0.13	0.19
t567	0.25	0.22	0.26	0.27	0.32	0.31	0.30	0.26	0.26	0.24	0.21
t568	0.19	0.16	0.14	0.12	0.10	0.12	0.14	0.14	0.12	0.12	0.14
t569	0.17	0.21	0.32	0.37	0.49	0.53	0.62	0.60	0.51	0.43	0.33
t570	0.28	0.26	0.29	0.35	0.37	0.35	0.30	0.27	0.26	0.27	0.25
t571	0.19	0.16	0.17	0.14	0.17	0.12	0.08	0.07	0.06	0.06	0.05
t572	0.04	0.03	0.02	0.02	0.02	0.02	0.03	0.04	0.03	0.02	0.02
t573	0.02	0.02	0.02	0.01	0.02	0.03	0.04	0.04	0.04	0.04	0.04
t574	0.04	0.03	0.03	0.02	0.02	0.01	0.02	0.03	0.05	0.08	0.08
t575	0.10	0.12	0.15	0.18	0.18	0.14	0.14	0.16	0.17	0.19	0.19
t576	0.20	0.22	0.21	0.18	0.18	0.18	0.20	0.20	0.22	0.27	0.28
t577	0.27	0.26	0.32	0.37	0.44	0.47	0.52	0.49	0.63	0.64	0.60
t578	0.59	0.56	0.55	0.53	0.50	0.43	0.37	0.34	0.30	0.28	0.30
t579	0.30	0.30	0.35	0.39	0.36	0.34	0.34	0.36	0.35	0.27	0.53
t580	0.47	0.35	0.37	0.38	0.33	0.18	0.16	0.22	0.25	0.29	0.33
t581	0.36	0.38	0.34	0.33	0.36	0.40	0.38	0.31	0.25	0.25	0.24
t582	0.23	0.23	0.23	0.22	0.23	0.23	0.21	0.17	0.13	0.11	0.11
t583	0.11	0.10	0.12	0.12	0.11	0.09	0.07	0.06	0.06	0.05	0.05
t584	0.04	0.04	0.02	0.02	0.04	0.08	0.10	0.13	0.13	0.11	0.08
t585	0.06	0.06	0.07	0.09	0.13	0.16	0.20	0.18	0.17	0.17	0.19
t586	0.19	0.18	0.18	0.15	0.09	0.10	0.10	0.09	0.11	0.10	0.11
t587	0.13	0.12	0.09	0.09	0.09	0.10	0.10	0.11	0.09	0.07	0.07
t588	0.06	0.07	0.07	0.07	0.07	0.07	0.06	0.05	0.06	0.07	0.07
t589	0.09	0.10	0.10	0.10	0.10	0.11	0.10	0.11	0.12	0.10	0.07
t590	0.06	0.08	0.08	0.10	0.11	0.11	0.11	0.11	0.08	0.06	0.05
t591	0.05	0.04	0.04	0.04	0.04	0.03	0.03	0.05	0.06	0.07	0.07
t592	0.06	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01
t593	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.03	0.03	0.02
